name,num_films
Neil Jordan,16
James Ivory,26
James Melkonian,2
Ivan Reitman,16
Arne Glimcher,3
Michael Gottlieb,4
George Lucas,7
Gillian Armstrong,7
Alfonso Cuarón,8
Ken Loach,27
Claude Chabrol,37
Edward Zwick,13
James Gray,6
Glenn Gordon Caron,4
Stephen Gyllenhaal,10
Nicholas Hytner,6
James Orr,3
Nora Ephron,8
Richard Benjamin,15
Les Mayfield,7
David Frankel,8
Gregory Nava,5
Marc Rocco,3
Robert Benton,11
Michael Apted,35
Nick Gomez,6
Tōru Murakawa,1
Vadim Jean,4
Albert Pyun,32
Alan Jacobs,2
Norman Jewison,24
Lee Tamahori,9
Anne Goursaud,3
Wolfgang Petersen,10
Luc Besson,16
Pascal Chaumeil,5
Mira Nair,15
Joshua Brand,1
Samantha Gore,1
Francis R. Mahony III,1
Mario Van Peebles,11
Robert Redford,9
Ed Check,2
Tony Fanning,3
Bob Shaw,2
Kayo Hatta,1
Patrice Chéreau,5
Sam Raimi,15
Peter Yates,24
Robert Altman,38
Krzysztof Kieślowski,13
He Ping,2
Fred Gerber,1
George Mihalka,4
Harold Ramis,11
Richard Rich,10
Steven E. Gordon,3
Bret Taylor Babos,1
Gregory Daven,1
John Sayles,17
Luis Llosa,5
Roland Emmerich,17
John Pasquin,4
Frank Darabont,5
John R. Woodward,2
Thomas Schellenberg,1
Jesse V. Johnson,4
Jack Evans,1
Danny Boyle,14
Scott McGehee,5
David Siegel,4
Daniel Goldfield,1
Tomás Gutiérrez Alea,6
Juan Carlos Tabío,4
George Huang,3
Kevin Dowling,1
Geoff Burton,1
Kelly Makin,3
Rachel Talalay,5
Ernest R. Dickerson,11
David Carson,6
Rusty Cundieff,4
Brian Gilbert,5
John Carpenter,22
Peter Segal,9
Louis Malle,23
Steven Soderbergh,30
Preston A. Whitmore II,3
Jon Turteltaub,11
Mina Shum,1
P.J. Hogan,6
Melanie Mayron,5
Tom Shadyac,8
Stephan Elliott,6
Jean-Michel Ducourty,1
Phillip Noyce,16
Robert Woodruff,3
Jessie Nelson,3
Alex Proyas,6
Ron Shelton,8
Bill Getty,3
Richard Olso,3
Brian Levant,11
Robert Zemeckis,19
Steve Arnold,2
Linda Berger,1
Doug Chiang,2
John Singleton,9
Darnell Martin,4
Andrew Bergman,6
Stephen Sommers,9
Ray Müller,1
Roger Allers,4
Rob Minkoff,7
Bernardo Bertolucci,16
Chuck Russell,7
Alan Rudolph,18
Ben Stiller,6
Donald Petrie,12
Robert Allan Ackerman,3
Curtis Hanson,12
Jan de Bont,5
Ron Underwood,11
James Cameron,12
Luis Mandoki,9
Damian Harris,5
Suri Krishnamma,4
Jefery Levy,1
Keenen Ivory Wayans,6
Robert Lee King,2
Brian Sloan,3
Raoul O'Connell,1
Yves Angelo,1
Russ Meyer,15
Doug McHenry,2
Dave Borthwick,3
Steven E. de Souza,2
Wallace Wolodarsky,3
Michael A. Nickles,3
Paul Warner,1
Vincent Robert,1
Theodore Thomas,2
Lucas Platt,2
Ross Kagan Marks,2
Paul Williams,2
Robert Wuhl,1
Roberto Sneider,3
Jack Baxter,1
Jefri Aalmuhammed,1
Andrew Morahan,3
Michael Corrente,6
John G. Avildsen,17
Jeff Pollack,3
Thomas Schlamme,3
Michael Lehmann,9
Paul Michael Glaser,5
Jonathan Kaplan,14
Whit Stillman,5
Bill Forsyth,8
John Landis,20
Caroline Thompson,3
Leslie Tomkins,6
Stephen Hopkins,12
Tony Richardson,17
Jennifer Chambers Lynch,4
Robert De Niro,2
Adam Resnick,1
John Whitesell,7
Brian De Palma,29
Chris Soldo,3
Paul Weiland,6
Mick Jackson,13
Marco Trentini,6
Steve Barron,11
Richard Rush,7
Michael Ritchie,21
Gregg Champion,8
Sarah Knowles,1
Louis D'Esposito,5
Marco Brambilla,4
Melanie J. Baker,2
Bruce Brown,3
Carl Reiner,14
Chen Kaige,13
Jack E. Pelissier Jr.,1
Michael Moran,1
Peter Weir,13
Alek Keshishian,3
Steve Kloves,2
John Irvin,21
Simon Wincer,17
Boaz Yakin,7
Josh McLaglen,7
Rose Troche,3
Bruce Beresford,27
Sidney Lumet,46
Monroe Kelly,1
Jim Abrahams,8
Julianna Lavin,1
Christopher Monger,1
Tina Jones,1
Bille August,15
Eric Meza,2
Joel Coen,19
James L. Brooks,6
Daniel Petri,4
Peter Kohn,4
Jim Sheridan,9
Gerry Toomey,2
Simon Moseley,3
Matty Rich,1
Steven Spielberg,33
Lauren Cory,1
TyRuben Ellingson,1
John T. Kretchmer,1
Michele Panelli-Venetis,2
Dominic Sena,5
Roger Avary,2
Daniel Petrie,16
Jim Dultz,1
Brian W. Cook,3
James Lapine,4
