name,num_films
Rex Linn,21
Paul Dillon,7
Christopher Masterson,12
Jimmie F. Skaggs,7
Harris Yulin,33
Carl Chase,8
Peter Geeves,2
Angus Wright,7
Ken Bones,6
Mary Peach,6
Thomas Lockyer,6
Roger Booth,1
George Murcell,10
Simon Atherton,2
Dickey Beer,3
Christopher Halliday,1
Chris Johnston,1
Richard Leaf,9
Tam White,2
Rupert Vansittart,10
Nick Bartlett,7
David Bailie,12
Kwame Kwei-Armah,1
Ramon Tikaram,6
Christopher Adamson,11
Sharon Stone,58
Joe Pesci,26
Alan King,19
Pasquale Cajano,1
L.Q. Jones,41
Dick Smothers,5
Frank Vincent,16
Oscar Goodman,1
Richard Riehle,62
Catherine Scorsese,7
Vinny Vella,4
Nobu Matsuhisa,2
Erika von Tagen,1
Nick Mazzola,1
David Rose,2
John Bloom,13
Joseph Rigano,4
Philip Suriano,4
Melissa Prophet,5
Bill Allison,2
Joe La Due,4
Joseph P. Reidy,4
Craig Vincent,1
Carl Ciarfalio,14
Gene Ruffini,5
Dominick Grieco,1
Clem Caserta,7
Daniel P. Conte,3
Joey DePinto,3
Jack Orend,3
Jed Mills,4
Claudia Haro,3
Ffolliott Le Coque,1
John Manca,2
Ronald Maccone,7
Joseph Bono,3
Frank Adonis,11
Anthony Russell,4
Stuart Nisbet,4
Alfred Nittoli,2
Kate Winslet,38
Emma Thompson,47
Hugh Grant,37
Tom Wilkinson,67
Alan Rickman,45
Imogen Stubbs,7
Greg Wise,14
Hugh Laurie,26
Imelda Staunton,37
Robert Hardy,24
Oliver Ford Davies,14
James Fleet,14
Harriet Walter,25
Gemma Jones,30
Emilie François,2
Elizabeth Spriggs,9
Richard Lumsden,8
Tim Roth,60
Antonio Banderas,67
Jennifer Beals,31
Madonna,19
Marisa Tomei,55
Bruce Willis,91
Quentin Tarantino,29
Sammi Davis,9
Amanda de Cadenet,3
Valeria Golino,35
Lili Taylor,47
Lawrence Bender,4
Ione Skye,15
Alicia Witt,28
David Proval,18
Lana McKissack,3
Tamlyn Tomita,13
Kathy Griffin,30
Paul Calderon,23
Salma Hayek,51
Patricia Vonne,3
Danny Verduzco,1
Kimberly Blair,1
Marc Lawrence,55
Jim Carrey,42
Ian McNeice,35
Simon Callow,30
Maynard Eziashi,5
Bob Gunton,40
Sophie Okonedo,13
Tommy Davidson,12
Adewale Akinnuoye-Agbaje,24
Danny D. Daniels,1
Sam Motoana Phillips,1
Damon Standifer,1
Andrew Steel,2
Bruce Spence,25
Tom Grunke,1
Arsenio 'Sonny' Trinidad,4
Woody Harrelson,74
Jennifer Lopez,33
Robert Blake,26
Chris Cooper,47
Joe Grifasi,28
Scott Sowers,7
Skipp Sudduth,8
Aida Turturro,18
Vincent Pastore,26
Enrico Colantoni,13
Bill Nunn,33
Katie Gill,6
Jeremy Roberts,12
Joe Bacino,4
John Travolta,58
Gene Hackman,80
Rene Russo,22
Danny DeVito,69
Dennis Farina,33
Delroy Lindo,33
James Gandolfini,40
Jon Gries,45
Renee Props,2
Miguel Sandoval,24
Jacob Vargas,23
Bobby Slayton,9
Linda Hart,9
Jeffrey J. Stephen,3
Sigourney Weaver,67
Holly Hunter,36
Will Patton,42
William McNamara,17
Harry Connick Jr.,19
J.E. Freeman,14
Dermot Mulroney,61
John Rothman,24
Shannon O'Hurley,1
Bob Greene,2
Tony Haney,2
Danny Kovacs,2
Tahmus Rounds,2
Scott Devenney,1
David Michael Silverman,1
Sylvester Stallone,70
Julianne Moore,66
Anatoli Davydov,4
Muse Watson,13
Steve Kahan,13
Kelly Rowan,14
Reed Diamond,12
Kai Wulff,5
Kerry Skalsky,1
James Douglas Haskins,2
Stephen Liska,6
John Harms,1
Edward J. Rosen,1
Christina Orchid,1
Choco Orta,2
Germán Legarreta,3
Sean Patrick Flanery,32
Lance Henriksen,77
Jeff Goldblum,63
Brandon Smith,19
Nicolas Cage,82
Elisabeth Shue,33
Julian Sands,32
Richard Lewis,15
Kim Adams,3
Emily Procter,6
Stuart Reynolds ,2
Graham Beckel,22
Mariska Hargitay,11
Shawnee Smith,22
David Kriegel,5
Laurence Fishburne,67
Irène Jacob,20
Kenneth Branagh,40
Nathaniel Parker,16
Indra Ové,6
Michael Maloney,18
Anna Patrick,1
Nicholas Farrell,25
Michael Sheen,45
Christina Ricci,49
Rosie O'Donnell,18
Thora Birch,22
Melanie Griffith,41
Gaby Hoffmann,24
Demi Moore,44
Ashleigh Aston Moore,3
Rita Wilson,23
Walter Sparrow,6
Devon Sawa,23
Cloris Leachman,62
Janeane Garofalo,54
Lolita Davidovich,25
Brendan Fraser,42
Amanda Root,4
Ciarán Hinds,57
Susan Fleetwood,7
Fiona Shaw,28
John Woodvine,11
Phoebe Nicholls,14
Samuel West,21
Sophie Thompson,11
Judy Cornwell,8
Simon Russell Beale,12
Felicity Dean,6
Roger Hammond,18
Victoria Hamilton,7
Corin Redgrave,21
Emma Roberts,31
Robert Glenister,5
Richard McCabe,15
Helen Schlesinger,2
Jane Wood,3
David Collings,4
Darlene Johnson,2
Cinnamon Faye,1
Isaac Maxwell-Hunt,1
Roger Llewellyn,2
Sally George,1
Lonnie James,1
Ron Perlman,74
Dominique Pinon,23
Judith Vittet,1
Daniel Emilfork,11
Jean-Claude Dreyfus,14
Geneviève Brunet,2
Odile Mallet,1
